domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
alsbad3lydc0mti4aha.ws,0,1,14,38,22,6,ws,1
alsbad3lydc0mti4aha.sg,0,0,14,38,22,6,sg,1
alsbad3lydc0mti4aha.in,0,1,14,50,22,6,in,1
36i07fypg2g8qx7.ddns.net,0,0,29,15,24,13,net,1
36i07fypg2g8qx7.cn,0,0,39,11,18,10,cn,1
36i07fypg2g8qx7.com,0,0,37,22,19,9,com,1
36i07fypg2g8qx7.cc,0,0,39,11,18,10,cc,1
36i07fypg2g8qx7.ws,0,1,39,11,18,10,ws,1
36i07fypg2g8qx7.sg,0,0,39,11,18,10,sg,1
36i07fypg2g8qx7.in,2,1,39,25,18,10,in,1
iruh3xyl3dk2yvs.ddns.net,0,0,12,19,24,11,net,1
iruh3xyl3dk2yvs.cn,0,0,17,17,18,7,cn,1
iruh3xyl3dk2yvs.com,0,0,16,25,19,7,com,1
iruh3xyl3dk2yvs.cc,0,0,17,17,18,7,cc,1
iruh3xyl3dk2yvs.ws,0,1,17,17,18,7,ws,1
iruh3xyl3dk2yvs.sg,0,0,17,17,18,7,sg,1
iruh3xyl3dk2yvs.in,0,1,17,27,18,7,in,1
3pgp5hodyhkxyh7d5r1byjm.ddns.net,0,0,16,9,32,8,net,1
3pgp5hodyhkxyh7d5r1byjm.cn,0,0,19,5,26,5,cn,1
3pgp5hodyhkxyh7d5r1byjm.com,0,0,19,11,27,5,com,1
3pgp5hodyhkxyh7d5r1byjm.cc,0,0,19,5,26,5,cc,1
3pgp5hodyhkxyh7d5r1byjm.ws,0,1,19,5,26,5,ws,1
3pgp5hodyhkxyh7d5r1byjm.sg,0,0,19,5,26,5,sg,1
3pgp5hodyhkxyh7d5r1byjm.in,0,1,19,11,26,5,in,1
ofkl5rkxan7nqjepo8uj70m.ddns.net,0,0,16,32,32,8,net,1
ofkl5rkxan7nqjepo8uj70m.cn,0,0,19,33,26,5,cn,1
ofkl5rkxan7nqjepo8uj70m.com,0,0,19,40,27,5,com,1
ofkl5rkxan7nqjepo8uj70m.cc,0,0,19,33,26,5,cc,1
ofkl5rkxan7nqjepo8uj70m.ws,0,1,19,33,26,5,ws,1
ofkl5rkxan7nqjepo8uj70m.sg,0,0,19,33,26,5,sg,1
ofkl5rkxan7nqjepo8uj70m.in,2,1,19,43,26,5,in,1
gn34stgxe8spi8ad32c.ddns.net,0,0,21,25,28,10,net,1
gn34stgxe8spi8ad32c.cn,0,0,27,25,22,7,cn,1
gn34stgxe8spi8ad32c.com,0,0,26,33,23,6,com,1
gn34stgxe8spi8ad32c.cc,0,0,27,25,22,7,cc,1
gn34stgxe8spi8ad32c.ws,0,1,27,25,22,7,ws,1
gn34stgxe8spi8ad32c.sg,0,0,27,25,22,7,sg,1
gn34stgxe8spi8ad32c.in,0,1,27,36,22,7,in,1
u2ip5p5tcps67luj1rw.ddns.net,0,0,21,25,28,10,net,1
u2ip5p5tcps67luj1rw.cn,0,0,27,25,22,7,cn,1
u2ip5p5tcps67luj1rw.com,0,0,26,33,23,6,com,1
u2ip5p5tcps67luj1rw.cc,0,0,27,25,22,7,cc,1
u2ip5p5tcps67luj1rw.ws,0,1,27,25,22,7,ws,1
u2ip5p5tcps67luj1rw.sg,0,0,27,25,22,7,sg,1
u2ip5p5tcps67luj1rw.in,0,1,27,36,22,7,in,1
ylerudqvgvajw6u.ddns.net,0,0,4,31,24,10,net,1
ylerudqvgvajw6u.cn,0,0,6,33,18,6,cn,1
ylerudqvgvajw6u.com,0,0,5,42,19,6,com,1
ylerudqvgvajw6u.cc,0,0,6,33,18,6,cc,1
ylerudqvgvajw6u.ws,0,1,6,33,18,6,ws,1
ylerudqvgvajw6u.sg,0,0,6,33,18,6,sg,1
ylerudqvgvajw6u.in,0,1,6,45,18,6,in,1
3t1tu87dq0m4mvu.ddns.net,0,0,25,23,24,12,net,1
3t1tu87dq0m4mvu.cn,0,0,33,22,18,9,cn,1
3t1tu87dq0m4mvu.com,0,0,32,33,19,8,com,1
3t1tu87dq0m4mvu.cc,0,0,33,22,18,9,cc,1
3t1tu87dq0m4mvu.ws,0,1,33,22,18,9,ws,1
3t1tu87dq0m4mvu.sg,0,0,33,22,18,9,sg,1
3t1tu87dq0m4mvu.in,0,1,33,38,18,9,in,1
yvkbolcjcbwdk61f3n7.ddns.net,0,0,14,10,28,9,net,1
yvkbolcjcbwdk61f3n7.cn,0,0,18,6,22,6,cn,1
yvkbolcjcbwdk61f3n7.com,0,0,17,12,23,6,com,1
yvkbolcjcbwdk61f3n7.cc,0,0,18,6,22,6,cc,1
yvkbolcjcbwdk61f3n7.ws,0,1,18,6,22,6,ws,1
yvkbolcjcbwdk61f3n7.sg,0,0,18,6,22,6,sg,1
yvkbolcjcbwdk61f3n7.in,0,1,18,13,22,6,in,1
